rank,title,author,price,format,rating,review_count,isbn10,isbn13,page_count,category,target_age_range,timestamp,asin,product_url,image_url,category_ranks,source_file,clean_title,reference_asin,category_ranks_dict,primary_category_rank,series_name,book_number,series_asin,standardized_format
11,We're Going on a Bear Hunt: The bestselling classic in a super-sturdy board book for babies and toddlers,Michael Rosen,7.32,Board book,4.8,4581.0,1406363073,9781406363074.0,36.0,Classic Books,1-3,2025-01-18T12:28:25.466966,1406363073,https://www.amazon.co.uk/Were-Going-Bear-Michael-Rosen/dp/1406363073,https://images-eu.ssl-images-amazon.com/images/P/1406363073.01.L.jpg,"4 in Children's Early Learning Books on Words | 11 in Classics for Children | 44 in Activities, Crafts & Games for Children",bestsellers_20250118.csv,We're Going on a Bear Hunt: The bestselling classic in a super-sturdy board book for babies and toddlers,1406363073,{},,,,,Board Book
12,Harry Potter Children's Collection: The Complete Collection (Children's Paperback),J.K. Rowling,39.99,Paperback,4.9,36942.0,,9781408856772.0,3872.0,Classic Books,8+,2025-01-18T12:28:25.468809,1408856778,https://www.amazon.co.uk/Harry-Potter-Box-Set-Collection/dp/1408856778,https://images-eu.ssl-images-amazon.com/images/P/1408856778.01.L.jpg,2 in Chapter Books for Children | 3 in Fiction Classics for Young Adults | 4 in Fantasy Fiction About Wizards & Witches for Young Adults,bestsellers_20250118.csv,Harry Potter Children's Collection: The Complete Collection (Children's Paperback),1408856778,{},,,,,Paperback
13,"Postman Bear: A Lift-the-flap Story (Tales From Acorn Wood, 3)",Julia Donaldson,4.0,Board book,4.8,3067.0,152902353X,9781529023534.0,12.0,Classic Books,1-2,2025-01-18T12:28:25.470428,152902353X,https://www.amazon.co.uk/Postman-Bear-Anniversary-Tales-Acorn/dp/152902353X,https://images-eu.ssl-images-amazon.com/images/P/152902353X.01.L.jpg,4 in Children's Books on Bears | 5 in Children's Early Learning Books on Numbers & Counting | 11 in Children's Books on Holidays & Celebrations,bestsellers_20250118.csv,"Postman Bear: A Lift-the-flap Story (Tales From Acorn Wood, 3)",152902353X,{},,,,,Board Book
14,"Hide-and-Seek Pig: A Lift-the-flap Story (Tales From Acorn Wood, 2)",Julia Donaldson,4.0,Board book,4.8,3973.0,1529023548,9781529023541.0,12.0,Classic Books,1-3,2025-01-18T12:28:25.472049,1529023548,https://www.amazon.co.uk/Hide-Seek-Pig-Anniversary-Tales/dp/1529023548,https://images-eu.ssl-images-amazon.com/images/P/1529023548.01.L.jpg,2 in Children's Books on Pigs | 2 in Children's Books on Sports & the Outdoors | 5 in Children's Books on Farm Animals,bestsellers_20250118.csv,"Hide-and-Seek Pig: A Lift-the-flap Story (Tales From Acorn Wood, 2)",1529023548,{},,,,,Board Book
15,"Brown Bear, Brown Bear, What Do You See?",Eric Carle,6.99,Board book,4.8,52109.0,0241137292,9780241137291.0,28.0,Classic Books,1-3,2025-01-18T12:28:25.475007,0241137292,https://www.amazon.co.uk/Brown-Bear-What-You-See/dp/0241137292,https://images-eu.ssl-images-amazon.com/images/P/0241137292.01.L.jpg,4 in Children's Early Learning Books on Colours | 4 in Children's Early Learning Books on Sounds | 5 in Children's Books on Bears,bestsellers_20250118.csv,"Brown Bear, Brown Bear, What Do You See?",0241137292,{},,,,,Board Book
16,The Explorer: WINNER OF THE COSTA CHILDREN'S BOOK AWARD,Katherine Rundell,6.57,Paperback,4.7,4097.0,1408882191,9781408882191.0,416.0,Classic Books,8-10,2025-01-18T12:28:25.478757,1408882191,https://www.amazon.co.uk/Explorer-Katherine-Rundell/dp/1408882191,https://images-eu.ssl-images-amazon.com/images/P/1408882191.01.L.jpg,2 in Children's Books on Travel | 3 in Children's Books on Forests & Trees | 6 in Travel Fiction for Children,bestsellers_20250118.csv,The Explorer: WINNER OF THE COSTA CHILDREN'S BOOK AWARD,1408882191,{},,,,,Paperback
17,Charlie and the Chocolate Factory,Roald Dahl,6.99,Audible Audiobook,4.7,845.0,,,,Classic Books,,2025-01-18T12:28:25.481286,B0CS4HJRRG,https://www.amazon.co.uk/Charlie-and-the-Chocolate-Factory/dp/B0CS4HJRRG,https://images-eu.ssl-images-amazon.com/images/P/B0CS4HJRRG.01.L.jpg,,bestsellers_20250118.csv,Charlie and the Chocolate Factory,B0CS4HJRRG,{},,,,,Audio
18,Each Peach Pear Plum,Allan Ahlberg,6.29,Board book,4.7,4841.0,0141379529,9780141379524.0,34.0,Classic Books,1-3,2025-01-18T12:28:25.482900,0141379529,https://www.amazon.co.uk/Each-Peach-Pear-Allan-Ahlberg/dp/0141379529,https://images-eu.ssl-images-amazon.com/images/P/0141379529.01.L.jpg,"2 in Nursery Rhymes for Children (Books) | 18 in Early Reader's Rhymes, Verse & Wordplay for Children | 18 in Classics for Children",bestsellers_20250118.csv,Each Peach Pear Plum,0141379529,{},,,,,Board Book
19,"Rabbit's Nap: A Lift-the-flap Book (Tales From Acorn Wood, 4)",Julia Donaldson,4.0,Board book,4.8,6594.0,1529023521,9781529023527.0,12.0,Classic Books,1-2,2025-01-18T12:28:25.484632,1529023521,https://www.amazon.co.uk/Rabbits-Nap-Anniversary-Tales-Acorn/dp/1529023521,https://images-eu.ssl-images-amazon.com/images/P/1529023521.01.L.jpg,2 in Children's Books on Easter | 4 in Children's Bedtime & Dream Books | 4 in Children's Books on Rabbits,bestsellers_20250118.csv,"Rabbit's Nap: A Lift-the-flap Book (Tales From Acorn Wood, 4)",1529023521,{},,,,,Board Book
20,Owl Babies: A beloved classic from the recipient of An Post Irish Book Awards’ Bob Hughes Lifetime Achievement Award,Martin Waddell,4.99,Paperback,4.8,4923.0,0744531675,9780744531671.0,32.0,Classic Books,2-4,2025-01-18T12:28:25.487496,0744531675,https://www.amazon.co.uk/Owl-Babies-Martin-Waddell/dp/0744531675,https://images-eu.ssl-images-amazon.com/images/P/0744531675.01.L.jpg,12 in Children's Books on Emotions & Feelings | 20 in Classics for Children | 34 in Children's Books on Family Life,bestsellers_20250118.csv,Owl Babies: A beloved classic from the recipient of An Post Irish Book Awards’ Bob Hughes Lifetime Achievement Award,0744531675,{},,,,,Paperback
21,Goodnight Moon,Margaret Wise Brown,7.35,Board book,4.7,48105.0,,9781509831975.0,32.0,Classic Books,1-3,2025-01-18T12:28:25.489495,1509831975,https://www.amazon.co.uk/Goodnight-Moon-Margaret-Wise-Brown/dp/1509831975,https://images-eu.ssl-images-amazon.com/images/P/1509831975.01.L.jpg,5 in Children's Bedtime & Dream Books | 6 in Children’s Daily Activity Books | 6 in Children's Books on Rabbits,bestsellers_20250118.csv,Goodnight Moon,1509831975,{},,,,,Board Book
22,"The Magician’s Nephew: Book 1 in the classic children’s fantasy adventure series (The Chronicles of Narnia, Book 1)",C. S. Lewis,2.99,Kindle Edition,4.5,10233.0,,,199.0,Classic Books,,2025-01-18T12:28:25.491894,B002UZ5J7W,https://www.amazon.co.uk/Magicians-Nephew-Chronicles-Narnia-Book-ebook/dp/B002UZ5J7W,https://images-eu.ssl-images-amazon.com/images/P/B002UZ5J7W.01.L.jpg,1 in Children's eBooks on Siblings | 1 in Children's Sword & Sorcery Fantasy eBooks | 2 in Children's Classic Literature,bestsellers_20250118.csv,"The Magician’s Nephew: Book 1 in the classic children’s fantasy adventure series (The Chronicles of Narnia, Book 1)",B002UZ5J7W,{},,The Chronicles of Narnia,1.0,B002UZ5J7W,Digital
23,Five-Minute Stories: 30 stories (Bumper Short Story Collections),Enid Blyton,5.93,Paperback,4.6,599.0,1444969218,9781444969214.0,336.0,Classic Books,4-6,2025-01-18T12:28:25.495941,1444969218,https://www.amazon.co.uk/Five-Minute-Tales-Bumper-Short-Collections/dp/1444969218,https://images-eu.ssl-images-amazon.com/images/P/1444969218.01.L.jpg,1 in Short Stories for Young Adults | 4 in Short Story Collections for Children | 6 in Fiction Classics for Young Adults,bestsellers_20250118.csv,Five-Minute Stories: 30 stories (Bumper Short Story Collections),1444969218,{},,,,,Paperback
24,The Boy Who Grew Dragons (The Boy Who Grew Dragons 1),Andy Shepherd,7.09,Paperback,4.7,5272.0,,9781848126497.0,224.0,Classic Books,5-8,2025-01-18T12:28:25.501476,1848126492,https://www.amazon.co.uk/Boy-Who-Grew-Dragons/dp/1848126492,https://images-eu.ssl-images-amazon.com/images/P/1848126492.01.L.jpg,1 in Visionary & Metaphysical Fantasy Fiction for Children | 2 in Intermediate & Advanced Readers for Children | 3 in Fiction About Values & Virtues for Children,bestsellers_20250118.csv,The Boy Who Grew Dragons (The Boy Who Grew Dragons 1),1848126492,{},,,,,Paperback
25,Ten Little Fingers and Ten Little Toes,Mem Fox,7.35,Board book,4.8,2875.0,1406331260,9781406331264.0,38.0,Classic Books,,2025-01-18T12:28:25.503448,1406331260,https://www.amazon.co.uk/Ten-Little-Fingers-Toes/dp/1406331260,https://images-eu.ssl-images-amazon.com/images/P/1406331260.01.L.jpg,1 in Multicultural Stories for Children (Books) | 2 in Children's Early Learning Books on the Body | 3 in Children's Books on New Babies,bestsellers_20250118.csv,Ten Little Fingers and Ten Little Toes,1406331260,{},,,,,Board Book
26,The Gruffalo 25th Anniversary Edition: with a shiny gold foil cover and fun Gruffalo activities to make and do!,Julia Donaldson,4.0,Paperback,4.9,158.0,1035028395,9781035028399.0,32.0,Classic Books,2-6,2025-01-18T12:28:25.505983,1035028395,https://www.amazon.co.uk/Gruffalo-25th-Anniversary-shiny-material/dp/1035028395,https://images-eu.ssl-images-amazon.com/images/P/1035028395.01.L.jpg,"9 in Horror & Ghost Stories for Children | 15 in Dragons, Unicorns & Mythical Creatures Tales for Children | 17 in Children's Books on Mystery & Wonders",bestsellers_20250118.csv,The Gruffalo 25th Anniversary Edition: with a shiny gold foil cover and fun Gruffalo activities to make and do!,1035028395,{},,,,,Paperback
27,Goodnight Mister Tom: Michelle Magorian (A Puffin Book),Michelle Magorian,6.99,Paperback,4.7,7733.0,0141354801,9780141354804.0,384.0,Classic Books,9+,2025-01-18T12:28:25.508084,0141354801,https://www.amazon.co.uk/Goodnight-Mister-Tom-Puffin-Book/dp/0141354801,https://images-eu.ssl-images-amazon.com/images/P/0141354801.01.L.jpg,1 in Children's Historical Fiction on Military & Wars | 1 in Modern & Contemporary Historical Fiction for Children | 2 in Children's Books on Adoption,bestsellers_20250118.csv,Goodnight Mister Tom: Michelle Magorian (A Puffin Book),0141354801,{},,,,,Paperback
28,Harry Potter and the Prisoner of Azkaban (Bloomsbury Publishing),J.K. Rowling,4.0,Paperback,4.8,95738.0,1408855674,9781408855676.0,480.0,Classic Books,8+,2025-01-18T12:28:25.513682,1408855674,https://www.amazon.co.uk/Harry-Potter-Prisoner-Azkaban/dp/1408855674,https://images-eu.ssl-images-amazon.com/images/P/1408855674.01.L.jpg,4 in Chapter Books for Children | 8 in Fiction Classics for Young Adults | 10 in Contemporary Fantasy for Young Adults,bestsellers_20250118.csv,Harry Potter and the Prisoner of Azkaban (Bloomsbury Publishing),1408855674,{},,,,,Paperback
29,Matilda,Roald Dahl,4.5,Paperback,4.8,21163.0,024155831X,9780241558317.0,384.0,Classic Books,6-8,2025-01-18T12:28:25.515742,024155831X,https://www.amazon.co.uk/Matilda-Special-Roald-Dahl/dp/024155831X,https://images-eu.ssl-images-amazon.com/images/P/024155831X.01.L.jpg,1 in Children's Fiction on Bullying | 1 in Children's Books on Bullying | 1 in Young Adult Fiction on Bullying,bestsellers_20250118.csv,Matilda,024155831X,{},,,,,Paperback
30,Matilda: Narrated by Kate Winslet,Roald Dahl,6.99,Audible Audiobook,4.8,21163.0,,,,Classic Books,,2025-01-18T12:28:25.518081,B00MOPKAN6,https://www.amazon.co.uk/Matilda/dp/B00MOPKAN6,https://images-eu.ssl-images-amazon.com/images/P/B00MOPKAN6.01.L.jpg,,bestsellers_20250118.csv,Matilda: Narrated by Kate Winslet,B00MOPKAN6,{},,,,,Audio
1,Ultimate Football Heroes 2025,Matt & Tom Oldfield,4.35,Paperback,4.3,67.0,1789467527,9781789467529.0,336.0,Sport and Outdoors,,2025-01-18T12:28:26.406170,1789467527,https://www.amazon.co.uk/Ultimate-Football-Heroes-2025/dp/1789467527,https://images-eu.ssl-images-amazon.com/images/P/1789467527.01.L.jpg,1 in Intermediate & Advanced Readers for Children | 1 in Children's Books on Football | 1 in Children's Books on American Football,bestsellers_20250118.csv,Ultimate Football Heroes 2025,1789467527,{},,,,,Paperback
2,"Hide-and-Seek Pig: A Lift-the-flap Story (Tales From Acorn Wood, 2)",Julia Donaldson,4.0,Board book,4.8,3973.0,1529023548,9781529023541.0,12.0,Sport and Outdoors,1-3,2025-01-18T12:28:26.407800,1529023548,https://www.amazon.co.uk/Hide-Seek-Pig-Anniversary-Tales/dp/1529023548,https://images-eu.ssl-images-amazon.com/images/P/1529023548.01.L.jpg,2 in Children's Books on Pigs | 2 in Children's Books on Sports & the Outdoors | 5 in Children's Books on Farm Animals,bestsellers_20250118.csv,"Hide-and-Seek Pig: A Lift-the-flap Story (Tales From Acorn Wood, 2)",1529023548,{},,,,,Board Book
3,"Football Kit Designer Colouring Book for Kids: Design Your Own Football Kit, Jersey, Boots and More | 50 Unique Football Colouring Pages and Football Facts",Kickstart Creatives,6.99,Paperback,4.7,127.0,,9798322166856.0,108.0,Sport and Outdoors,7-10,2025-01-18T12:28:26.411789,B0D12PYZYQ,https://www.amazon.co.uk/Football-Designer-Colouring-Book-Kids/dp/B0D12PYZYQ,https://images-eu.ssl-images-amazon.com/images/P/B0D12PYZYQ.01.L.jpg,1 in Celtic Glasgow | 2 in Children's Books on Football | 11 in Colouring Books for Children,bestsellers_20250118.csv,"Football Kit Designer Colouring Book for Kids: Design Your Own Football Kit, Jersey, Boots and More | 50 Unique Football Colouring Pages and Football Facts",B0D12PYZYQ,{},,,,,Paperback
4,Match Annual 2025: The UK's Best-selling Football Annual!,MATCH,2.99,Hardcover,4.7,55.0,1035041081,9781035041084.0,96.0,Sport and Outdoors,9-11,2025-01-18T12:28:26.413447,1035041081,https://www.amazon.co.uk/Match-Annual-2025-MATCH/dp/1035041081,https://images-eu.ssl-images-amazon.com/images/P/1035041081.01.L.jpg,1 in Children's Books on the Olympics | 1 in Football References | 2 in Sporting Events,bestsellers_20250118.csv,Match Annual 2025: The UK's Best-selling Football Annual!,1035041081,{},,,,,Hardcover
5,Official Liverpool FC Annual 2025,Grange,6.99,Hardcover,4.7,89.0,1915879884,9781915879882.0,64.0,Sport and Outdoors,,2025-01-18T12:28:26.415873,1915879884,https://www.amazon.co.uk/Official-Liverpool-FC-Annual-2025/dp/1915879884,https://images-eu.ssl-images-amazon.com/images/P/1915879884.01.L.jpg,1 in FC Liverpool | 1 in Books on Football for Young Adults | 2 in Football References,bestsellers_20250118.csv,Official Liverpool FC Annual 2025,1915879884,{},,,,,Hardcover
6,The Most Incredible True Football Stories (You Never Knew): Winner of the Telegraph Children's Sports Book of the Year (Unbelievable Football),Matt Oldfield,5.4,Paperback,4.7,1884.0,1526362449,9781526362445.0,240.0,Sport and Outdoors,8-11,2025-01-18T12:28:26.417689,1526362449,https://www.amazon.co.uk/Unbelievable-Football-Incredible-Stories-Never/dp/1526362449,https://images-eu.ssl-images-amazon.com/images/P/1526362449.01.L.jpg,1 in Sports & Recreation Biographies for Children | 3 in Football References | 5 in Children & Young Adult Biographies,bestsellers_20250118.csv,The Most Incredible True Football Stories (You Never Knew): Winner of the Telegraph Children's Sports Book of the Year (Unbelievable Football),1526362449,{},,,,,Paperback
7,"The Breakfast Club Adventures: The Beast Beyond the Fence: 1 (The Breakfast Club Adventures, 1)",Marcus Rashford,4.0,Paperback,4.7,1318.0,1529076625,9781529076622.0,272.0,Sport and Outdoors,7-10,2025-01-18T12:28:26.419304,1529076625,https://www.amazon.co.uk/Breakfast-Club-Adventures-Beast-Beyond/dp/1529076625,https://images-eu.ssl-images-amazon.com/images/P/1529076625.01.L.jpg,6 in Children's Books on Football | 7 in Sports Humour | 19 in Children's Books on School,bestsellers_20250118.csv,"The Breakfast Club Adventures: The Beast Beyond the Fence: 1 (The Breakfast Club Adventures, 1)",1529076625,{},,,,,Paperback
8,"Leo Messi (Little People, BIG DREAMS)",Maria Isabel Sanchez Vegara,7.79,Hardcover,4.9,224.0,0711290571,9780711290570.0,32.0,Sport and Outdoors,4-7,2025-01-18T12:28:26.420909,0711290571,https://www.amazon.co.uk/Leo-Messi-Little-People-DREAMS/dp/0711290571,https://images-eu.ssl-images-amazon.com/images/P/0711290571.01.L.jpg,2 in Exploring the United States for Children | 3 in Sports & Recreation Biographies for Children | 7 in Children's Books on Football,bestsellers_20250118.csv,"Leo Messi (Little People, BIG DREAMS)",0711290571,{},,,,,Hardcover
9,Skandar and the Chaos Trials: The INSTANT NUMBER ONE BESTSELLER in the biggest fantasy adventure series since Harry Potter (Volume 3),A.F. Steadman,7.0,Hardcover,4.7,930.0,1398502952,9781398502956.0,416.0,Sport and Outdoors,10-12,2025-01-18T12:28:26.422858,1398502952,https://www.amazon.co.uk/Skandar-3-F-Steadman/dp/1398502952,https://images-eu.ssl-images-amazon.com/images/P/1398502952.01.L.jpg,3 in Fiction About Parents for Young Adults | 5 in Fantasy & Supernatural Mysteries & Thrillers for Young Adults | 6 in Fiction About Siblings for Young Adults,bestsellers_20250118.csv,Skandar and the Chaos Trials: The INSTANT NUMBER ONE BESTSELLER in the biggest fantasy adventure series since Harry Potter (Volume 3),1398502952,{},,,,,Hardcover
10,"Simone Biles (103) (Little People, BIG DREAMS)",Maria Isabel Sanchez Vegara,7.28,Hardcover,4.7,86.0,0711285780,9780711285781.0,32.0,Sport and Outdoors,4-7,2025-01-18T12:28:26.424478,0711285780,https://www.amazon.co.uk/Simone-Biles-Little-People-DREAMS/dp/0711285780,https://images-eu.ssl-images-amazon.com/images/P/0711285780.01.L.jpg,1 in Children's Books on Gymnastics | 1 in Athletics Biographies | 1 in Children's Books on Marriage & Divorce,bestsellers_20250118.csv,"Simone Biles (103) (Little People, BIG DREAMS)",0711285780,{},,,,,Hardcover
11,Satisfying Patterns Colouring Book (Satisfying Patterns Colouring Books),ali,9.41,Paperback,4.4,334.0,,9798850162160.0,63.0,Sport and Outdoors,,2025-01-18T12:28:26.428414,B0C9S3G5JR,https://www.amazon.co.uk/Satisfying-Patterns-Colouring-Book-Books/dp/B0C9S3G5JR,https://images-eu.ssl-images-amazon.com/images/P/B0C9S3G5JR.01.L.jpg,11 in Children's Books on Sports & the Outdoors,bestsellers_20250118.csv,Satisfying Patterns Colouring Book (Satisfying Patterns Colouring Books),B0C9S3G5JR,{},,,,,Paperback
12,"Skandar and the Unicorn Thief: The international, award-winning hit, and the biggest fantasy adventure series since Harry Potter (Volume 1)",A.F. Steadman,4.5,Paperback,4.7,1632.0,1398502731,9781398502734.0,400.0,Sport and Outdoors,9+,2025-01-18T12:28:26.430128,1398502731,https://www.amazon.co.uk/Skandar-Unicorn-Thief-major-fantasy/dp/1398502731,https://images-eu.ssl-images-amazon.com/images/P/1398502731.01.L.jpg,2 in Children's Books on Horses | 14 in Children's Books on Sports & the Outdoors | 15 in Science Fiction for Children,bestsellers_20250118.csv,"Skandar and the Unicorn Thief: The international, award-winning hit, and the biggest fantasy adventure series since Harry Potter (Volume 1)",1398502731,{},,,,,Paperback
13,You Vs the World: The Bear Grylls Guide to Never Giving Up,Bear Grylls,4.87,Paperback,4.7,169.0,0241672317,9780241672310.0,160.0,Sport and Outdoors,7-11,2025-01-18T12:28:26.431807,0241672317,https://www.amazon.co.uk/You-Vs-World-Grylls-Giving/dp/0241672317,https://images-eu.ssl-images-amazon.com/images/P/0241672317.01.L.jpg,13 in Children's Books on Sports & the Outdoors | 39 in Children's Books on Health | 58 in Children's Books on Self-Esteem & Self-Respect,bestsellers_20250118.csv,You Vs the World: The Bear Grylls Guide to Never Giving Up,0241672317,{},,,,,Paperback
14,"Skandar and the Unicorn Thief: The international, award-winning hit, and the biggest fantasy adventure series since Harry Potter",A.F. Steadman,0.99,Kindle Edition,4.7,1632.0,,,399.0,Sport and Outdoors,,2025-01-18T12:28:26.433597,B08JZH59QY,https://www.amazon.co.uk/Skandar-Unicorn-Thief-F-Steadman-ebook/dp/B08JZH59QY,https://images-eu.ssl-images-amazon.com/images/P/B08JZH59QY.01.L.jpg,1 in Children's Fantasy & Supernatural Mystery eBooks | 1 in Children's Superhero Action & Adventure | 1 in Children's Action & Adventure Sci-Fi eBooks,bestsellers_20250118.csv,"Skandar and the Unicorn Thief: The international, award-winning hit, and the biggest fantasy adventure series since Harry Potter",B08JZH59QY,{},,,,,Digital
15,Match of the Day Annual 2025,Match of the Day Magazine,7.99,Hardcover,4.7,69.0,1785948385,9781785948381.0,96.0,Sport and Outdoors,,2025-01-18T12:28:26.435896,1785948385,https://www.amazon.co.uk/Match-Day-Annual-2025-Magazine/dp/1785948385,https://images-eu.ssl-images-amazon.com/images/P/1785948385.01.L.jpg,2 in Books on Football for Young Adults | 2 in Children's Books on American Football | 4 in Football References,bestsellers_20250118.csv,Match of the Day Annual 2025,1785948385,{},,,,,Hardcover
16,Football Colouring Book For Kids: Ages 4-8,The Future Teacher Foundation,3.99,Paperback,4.6,358.0,1090953607,9781090953605.0,64.0,Sport and Outdoors,5-7,2025-01-18T12:28:26.437496,1090953607,https://www.amazon.co.uk/Football-Colouring-Book-Kids-Ages/dp/1090953607,https://images-eu.ssl-images-amazon.com/images/P/1090953607.01.L.jpg,1 in Football Fans | 1 in Football Skills & Coaching | 2 in Premier League Football,bestsellers_20250118.csv,Football Colouring Book For Kids: Ages 4-8,1090953607,{},,,,,Paperback
