UserID,SignUpDate,FirstEvent,LatestEvent,EnrollCount,SignupYear,SignUpM,SignUpMonth
50369,2024-11-24 20:34:23,,,,2024,11,November
50367,2024-11-24 18:33:11,,,,2024,11,November
50365,2024-11-24 16:47:50,2024-11-30 11:00:00,2024-11-30 11:00:00,1,2024,11,November
50341,2024-11-22 17:10:20,2024-11-23 11:00:00,2025-01-11 11:00:00,2,2024,11,November
50316,2024-11-20 10:30:50,2024-11-24 12:00:00,2024-11-24 12:00:00,1,2024,11,November
50297,2024-11-18 19:27:36,2024-11-19 19:00:00,2024-11-19 19:00:00,1,2024,11,November
50291,2024-11-18 13:43:55,2024-11-24 12:00:00,2024-11-24 12:00:00,1,2024,11,November
50289,2024-11-18 11:19:55,,,,2024,11,November
50283,2024-11-17 16:17:53,2024-11-18 19:00:00,2024-11-18 19:00:00,1,2024,11,November
50282,2024-11-17 14:35:00,,,,2024,11,November
50265,2024-11-15 23:39:32,2024-11-17 12:00:00,2024-12-10 19:00:00,3,2024,11,November
50260,2024-11-15 14:00:39,,,,2024,11,November
50248,2024-11-13 14:30:15,2024-11-17 12:00:00,2024-11-17 12:00:00,1,2024,11,November
50240,2024-11-12 12:52:41,2024-11-16 10:30:00,2024-11-16 10:30:00,1,2024,11,November
50238,2024-11-12 12:13:50,,,,2024,11,November
50211,2024-11-08 23:29:46,2024-11-09 10:30:00,2024-11-16 10:30:00,2,2024,11,November
50193,2024-11-06 17:02:24,,,,2024,11,November
50185,2024-11-05 22:11:08,,,,2024,11,November
50156,2024-11-02 18:34:30,2024-11-03 12:00:00,2024-11-19 19:00:00,5,2024,11,November
50148,2024-11-01 21:02:56,2024-11-02 10:30:00,2024-12-21 10:30:00,5,2024,11,November
50146,2024-11-01 15:44:32,2024-11-02 10:30:00,2025-01-19 12:00:00,8,2024,11,November
50144,2024-11-01 13:55:56,,,,2024,11,November
50129,2024-10-31 07:08:17,,,,2024,10,October
50101,2024-10-28 19:55:06,2024-10-29 19:00:00,2025-01-21 19:00:00,13,2024,10,October
50090,2024-10-27 20:55:39,2024-11-03 12:00:00,2024-11-03 12:00:00,1,2024,10,October
50089,2024-10-27 19:49:17,2024-11-03 12:00:00,2024-11-03 12:00:00,1,2024,10,October
50084,2024-10-27 18:35:57,2024-11-03 12:00:00,2025-01-19 12:00:00,11,2024,10,October
50067,2024-10-26 22:52:34,2024-10-27 12:00:00,2024-10-27 12:00:00,1,2024,10,October
50029,2024-10-23 11:33:03,,,,2024,10,October
50028,2024-10-23 11:32:32,2024-11-23 11:00:00,2024-11-23 11:00:00,1,2024,10,October
50016,2024-10-22 21:39:03,2024-10-23 18:00:00,2024-10-23 18:00:00,1,2024,10,October
50007,2024-10-22 16:39:36,2024-10-22 18:00:00,2024-10-22 18:00:00,1,2024,10,October
50003,2024-10-22 12:47:34,2024-10-27 12:00:00,2024-10-27 12:00:00,1,2024,10,October
49999,2024-10-22 09:59:58,,,,2024,10,October
49976,2024-10-21 08:30:56,,,,2024,10,October
49973,2024-10-21 02:40:34,,,,2024,10,October
49948,2024-10-19 20:44:03,2024-10-30 19:00:00,2024-11-13 19:00:00,2,2024,10,October
49944,2024-10-19 09:50:59,2024-10-27 12:00:00,2024-10-27 12:00:00,1,2024,10,October
49927,2024-10-18 12:40:00,2024-10-19 10:00:00,2024-10-19 10:00:00,1,2024,10,October
49926,2024-10-18 12:36:37,2024-10-19 10:00:00,2024-10-19 10:00:00,1,2024,10,October
49920,2024-10-17 22:58:40,2025-01-21 19:00:00,2025-01-21 19:00:00,1,2024,10,October
49919,2024-10-17 20:25:43,2024-10-19 09:30:00,2024-10-19 09:30:00,1,2024,10,October
49914,2024-10-17 06:22:38,2024-10-19 10:00:00,2024-10-19 10:00:00,1,2024,10,October
49913,2024-10-16 21:42:19,2024-10-19 09:30:00,2024-10-19 09:30:00,1,2024,10,October
49906,2024-10-16 08:37:59,2024-10-19 09:30:00,2024-11-09 10:30:00,2,2024,10,October
49905,2024-10-16 07:56:17,2024-10-19 09:30:00,2024-10-19 09:30:00,1,2024,10,October
49904,2024-10-16 07:30:08,2024-10-19 09:30:00,2024-11-09 10:30:00,2,2024,10,October
49896,2024-10-15 19:26:34,,,,2024,10,October
49894,2024-10-15 14:11:14,2024-10-19 09:30:00,2024-11-09 10:30:00,2,2024,10,October
49888,2024-10-14 19:38:49,2024-10-15 18:00:00,2024-12-17 19:00:00,2,2024,10,October
49885,2024-10-14 16:13:57,2024-10-14 18:00:00,2024-11-11 19:00:00,4,2024,10,October
49809,2024-10-08 07:33:37,2024-10-08 18:00:00,2024-10-08 18:00:00,1,2024,10,October
49799,2024-10-07 06:17:26,,,,2024,10,October
49796,2024-10-06 17:15:38,2024-10-13 11:00:00,2024-10-27 12:00:00,2,2024,10,October
49778,2024-10-05 08:16:28,2024-10-05 09:30:00,2024-10-05 09:30:00,1,2024,10,October
49777,2024-10-05 07:36:36,2024-10-06 11:00:00,2024-10-06 11:00:00,1,2024,10,October
49775,2024-10-04 20:49:29,2024-10-05 10:00:00,2025-01-12 12:00:00,13,2024,10,October
49684,2024-09-25 20:15:33,2024-10-07 18:00:00,2024-10-28 19:00:00,3,2024,9,September
49679,2024-09-25 11:10:44,2024-10-20 11:00:00,2024-10-20 11:00:00,1,2024,9,September
49678,2024-09-25 11:06:16,2024-10-20 11:00:00,2024-10-20 11:00:00,1,2024,9,September
49660,2024-09-23 22:07:54,,,,2024,9,September
49659,2024-09-23 20:38:46,2024-09-24 18:00:00,2024-09-24 18:00:00,1,2024,9,September
49643,2024-09-22 20:11:49,2024-10-07 18:00:00,2024-10-07 18:00:00,1,2024,9,September
49624,2024-09-21 19:06:31,,,,2024,9,September
49623,2024-09-21 15:57:40,,,,2024,9,September
49621,2024-09-21 12:09:03,,,,2024,9,September
49586,2024-09-18 12:50:00,2024-09-18 18:00:00,2024-09-18 18:00:00,1,2024,9,September
49584,2024-09-18 10:53:10,2024-10-08 18:00:00,2024-10-29 19:00:00,3,2024,9,September
49583,2024-09-18 09:37:08,2024-09-18 18:00:00,2024-09-18 18:00:00,1,2024,9,September
49567,2024-09-17 07:47:48,,,,2024,9,September
49562,2024-09-16 18:48:39,,,,2024,9,September
49560,2024-09-16 14:06:52,,,,2024,9,September
49557,2024-09-16 12:40:06,2024-09-18 18:00:00,2025-01-22 19:00:00,22,2024,9,September
49549,2024-09-15 10:07:39,2024-09-15 11:00:00,2024-09-15 11:00:00,1,2024,9,September
49548,2024-09-15 09:55:18,2024-09-14 09:30:00,2024-09-14 09:30:00,1,2024,9,September
49542,2024-09-14 16:43:18,2024-09-15 11:00:00,2024-09-15 11:00:00,1,2024,9,September
49532,2024-09-14 09:13:16,2024-09-14 10:00:00,2024-09-14 10:00:00,1,2024,9,September
49525,2024-09-13 19:25:25,2024-09-14 09:30:00,2024-09-14 09:30:00,1,2024,9,September
49523,2024-09-13 17:00:06,2024-09-15 11:00:00,2025-01-22 19:00:00,13,2024,9,September
49520,2024-09-13 13:30:53,2024-09-14 09:30:00,2024-09-14 09:30:00,1,2024,9,September
49497,2024-09-11 05:31:13,2024-09-11 18:00:00,2024-09-11 18:00:00,1,2024,9,September
49479,2024-09-09 23:04:34,,,,2024,9,September
49478,2024-09-09 22:20:03,,,,2024,9,September
49477,2024-09-09 22:04:06,2024-09-14 09:30:00,2024-09-14 09:30:00,1,2024,9,September
49476,2024-09-09 20:49:48,2024-09-14 09:30:00,2024-09-14 09:30:00,1,2024,9,September
49475,2024-09-09 20:41:07,,,,2024,9,September
49465,2024-09-09 09:35:42,2024-09-11 18:00:00,2024-09-11 18:00:00,1,2024,9,September
49457,2024-09-08 21:10:31,2024-09-09 18:00:00,2024-09-09 18:00:00,1,2024,9,September
49440,2024-09-07 19:59:37,2024-09-10 18:00:00,2024-09-24 18:00:00,2,2024,9,September
49428,2024-09-07 08:09:56,2024-09-07 10:00:00,2024-11-30 11:00:00,7,2024,9,September
49423,2024-09-06 21:33:14,2024-09-15 11:00:00,2024-10-23 18:00:00,3,2024,9,September
49380,2024-09-03 20:40:13,2024-09-04 18:00:00,2024-09-04 18:00:00,1,2024,9,September
49375,2024-09-03 17:39:48,2024-09-03 18:00:00,2024-09-03 18:00:00,1,2024,9,September
49368,2024-09-02 19:20:11,,,,2024,9,September
49365,2024-09-02 16:34:56,2024-09-02 18:00:00,2024-09-02 18:00:00,1,2024,9,September
49364,2024-09-02 16:14:03,2024-09-02 18:00:00,2024-09-02 18:00:00,1,2024,9,September
49362,2024-09-02 15:15:01,2024-09-02 18:00:00,2024-09-02 18:00:00,1,2024,9,September
49360,2024-09-02 12:29:07,2024-09-02 18:00:00,2025-01-07 19:00:00,25,2024,9,September
49346,2024-09-01 18:16:28,2024-09-02 18:00:00,2024-09-02 18:00:00,1,2024,9,September
49343,2024-09-01 14:37:53,,,,2024,9,September
49342,2024-09-01 14:16:46,2024-09-03 18:00:00,2024-09-14 09:30:00,2,2024,9,September
49338,2024-09-01 12:05:03,,,,2024,9,September
49293,2024-08-28 15:30:29,2024-09-01 11:00:00,2024-09-15 11:00:00,2,2024,8,August
49289,2024-08-28 08:46:38,,,,2024,8,August
49283,2024-08-27 17:07:06,2024-08-27 18:00:00,2024-08-28 18:00:00,2,2024,8,August
49273,2024-08-26 13:47:26,,,,2024,8,August
49256,2024-08-24 23:11:54,2024-08-25 11:00:00,2024-08-25 11:00:00,1,2024,8,August
49254,2024-08-24 17:22:56,2024-08-25 11:00:00,2024-08-25 11:00:00,1,2024,8,August
49243,2024-08-24 09:12:20,2024-09-22 11:00:00,2024-09-22 11:00:00,1,2024,8,August
49237,2024-08-24 05:15:44,,,,2024,8,August
49232,2024-08-23 20:42:55,2024-08-25 11:00:00,2024-08-25 11:00:00,1,2024,8,August
49231,2024-08-23 20:37:03,2024-08-25 11:00:00,2024-08-25 11:00:00,1,2024,8,August
49226,2024-08-23 14:35:39,2024-08-24 09:30:00,2024-12-14 10:30:00,8,2024,8,August
49173,2024-08-20 09:59:48,2024-08-20 18:00:00,2024-08-20 18:00:00,1,2024,8,August
49155,2024-08-19 08:28:49,,,,2024,8,August
49151,2024-08-18 18:41:31,2024-09-01 11:00:00,2024-09-15 11:00:00,3,2024,8,August
49148,2024-08-18 11:45:57,2024-08-19 18:00:00,2024-08-19 18:00:00,1,2024,8,August
49146,2024-08-17 18:30:26,2024-08-19 18:00:00,2024-08-19 18:00:00,1,2024,8,August
49142,2024-08-17 11:16:00,,,,2024,8,August
49141,2024-08-17 07:34:35,,,,2024,8,August
49140,2024-08-16 23:39:16,,,,2024,8,August
49138,2024-08-16 15:40:16,2024-08-18 11:00:00,2024-08-18 11:00:00,1,2024,8,August
49137,2024-08-16 15:40:01,2024-08-18 11:00:00,2024-08-18 11:00:00,1,2024,8,August
49095,2024-08-13 12:56:27,2024-08-13 18:00:00,2024-09-03 18:00:00,3,2024,8,August
49093,2024-08-13 10:24:54,,,,2024,8,August
49092,2024-08-12 20:31:49,2024-08-17 09:30:00,2024-08-17 09:30:00,1,2024,8,August
49087,2024-08-12 14:03:29,2024-08-12 18:00:00,2024-11-05 19:00:00,10,2024,8,August
49086,2024-08-12 14:01:13,2024-08-12 18:00:00,2024-08-12 18:00:00,1,2024,8,August
49071,2024-08-10 15:04:46,,,,2024,8,August
49027,2024-08-07 16:47:44,2024-08-07 18:00:00,2024-08-07 18:00:00,1,2024,8,August
49026,2024-08-07 16:46:22,2024-08-07 18:00:00,2024-12-21 10:30:00,2,2024,8,August
49021,2024-08-07 09:55:49,2024-09-22 11:00:00,2024-09-22 11:00:00,1,2024,8,August
49015,2024-08-06 19:15:06,2024-08-17 09:30:00,2024-08-17 09:30:00,1,2024,8,August
48995,2024-08-05 22:25:37,2024-08-10 09:30:00,2024-09-07 09:30:00,3,2024,8,August
48980,2024-08-05 09:02:10,2024-08-06 18:00:00,2024-10-21 18:00:00,5,2024,8,August
48970,2024-08-04 18:25:35,2024-08-10 09:30:00,2024-08-10 09:30:00,1,2024,8,August
48969,2024-08-04 18:21:27,2024-08-10 09:30:00,2024-08-17 09:30:00,2,2024,8,August
48960,2024-08-04 08:15:01,2024-08-04 11:00:00,2024-09-22 11:00:00,2,2024,8,August
48954,2024-08-03 16:34:08,2024-08-04 11:00:00,2024-09-01 11:00:00,4,2024,8,August
48953,2024-08-03 15:13:51,2024-08-04 11:00:00,2024-08-04 11:00:00,1,2024,8,August
48946,2024-08-02 21:47:02,2024-08-03 09:30:00,2024-11-16 10:30:00,11,2024,8,August
48943,2024-08-02 18:30:15,2024-08-03 09:30:00,2024-08-03 09:30:00,2,2024,8,August
48942,2024-08-02 18:29:09,2024-08-03 09:30:00,2024-08-03 09:30:00,1,2024,8,August
48933,2024-08-01 19:28:00,2024-08-24 09:30:00,2024-08-24 09:30:00,1,2024,8,August
48895,2024-07-29 16:22:59,2024-07-29 18:00:00,2024-09-30 17:30:00,20,2024,7,July
48887,2024-07-28 19:50:44,,,,2024,7,July
48885,2024-07-28 09:38:38,2024-07-28 11:00:00,2024-10-13 11:00:00,5,2024,7,July
48884,2024-07-28 09:21:55,,,,2024,7,July
48872,2024-07-27 07:17:46,2024-07-27 10:00:00,2024-07-27 10:00:00,1,2024,7,July
48871,2024-07-26 21:24:18,,,,2024,7,July
48870,2024-07-26 19:46:46,2024-07-30 18:00:00,2024-07-30 18:00:00,1,2024,7,July
48856,2024-07-25 11:15:05,2024-08-04 11:00:00,2024-08-04 11:00:00,1,2024,7,July
48850,2024-07-24 20:50:12,2024-07-27 10:00:00,2024-07-27 10:00:00,1,2024,7,July
48849,2024-07-24 20:40:51,2024-07-27 10:00:00,2024-09-03 18:00:00,3,2024,7,July
48847,2024-07-24 17:19:54,2024-07-28 11:00:00,2024-08-11 11:00:00,3,2024,7,July
48807,2024-07-22 11:54:51,2024-07-24 18:00:00,2024-07-24 18:00:00,1,2024,7,July
48784,2024-07-21 02:18:54,2024-07-21 11:00:00,2024-10-27 12:00:00,6,2024,7,July
48783,2024-07-20 18:54:14,,,,2024,7,July
48780,2024-07-20 13:26:52,2024-07-21 11:00:00,2024-07-21 11:00:00,1,2024,7,July
48779,2024-07-20 11:44:12,2024-07-21 11:00:00,2024-07-21 11:00:00,1,2024,7,July
48776,2024-07-19 16:35:03,2024-07-21 11:00:00,2024-09-11 18:00:00,4,2024,7,July
48775,2024-07-19 13:27:11,2024-07-20 10:00:00,2024-07-20 10:00:00,1,2024,7,July
48765,2024-07-18 15:21:32,2024-07-20 10:00:00,2024-07-20 10:00:00,1,2024,7,July
48763,2024-07-18 11:15:31,,,,2024,7,July
48762,2024-07-18 10:50:58,2024-07-20 10:00:00,2024-07-20 10:00:00,1,2024,7,July
48751,2024-07-17 09:42:05,,,,2024,7,July
48750,2024-07-17 09:23:12,2024-07-22 18:00:00,2024-07-22 18:00:00,1,2024,7,July
48736,2024-07-16 14:44:24,2024-07-16 18:00:00,2024-07-16 18:00:00,1,2024,7,July
48699,2024-07-12 23:07:40,2024-07-13 09:30:00,2024-11-23 10:30:00,15,2024,7,July
48687,2024-07-11 15:41:11,,,,2024,7,July
48653,2024-07-08 17:00:30,2024-07-08 18:00:00,2024-07-08 18:00:00,1,2024,7,July
48645,2024-07-07 21:13:56,2024-07-09 18:00:00,2024-07-16 18:00:00,2,2024,7,July
48644,2024-07-07 20:42:49,2024-07-09 18:00:00,2024-07-16 18:00:00,2,2024,7,July
48642,2024-07-07 18:39:07,2024-07-09 18:00:00,2024-07-16 18:00:00,2,2024,7,July
48629,2024-07-07 08:52:26,2024-07-07 11:00:00,2024-07-20 10:00:00,2,2024,7,July
48608,2024-07-05 14:19:40,2024-07-13 09:30:00,2024-08-04 11:00:00,3,2024,7,July
48605,2024-07-05 11:47:42,2024-07-21 11:00:00,2024-07-28 11:00:00,2,2024,7,July
48589,2024-07-03 21:07:49,2024-07-07 11:00:00,2024-07-07 11:00:00,1,2024,7,July
48580,2024-07-02 21:27:55,,,,2024,7,July
48573,2024-07-02 12:18:50,2024-07-03 18:00:00,2024-07-03 18:00:00,1,2024,7,July
48570,2024-07-02 08:02:10,2024-07-20 10:00:00,2024-07-20 10:00:00,1,2024,7,July
48568,2024-07-02 00:37:14,,,,2024,7,July
48563,2024-07-01 11:16:48,2024-07-03 18:00:00,2024-07-03 18:00:00,1,2024,7,July
48561,2024-06-30 19:38:50,,,,2024,6,June
48551,2024-06-29 08:36:14,2024-06-29 10:00:00,2024-06-29 10:00:00,1,2024,6,June
48550,2024-06-29 08:18:30,2024-06-29 09:30:00,2024-09-21 09:30:00,14,2024,6,June
48546,2024-06-28 17:21:32,2024-07-02 18:00:00,2024-07-30 18:00:00,3,2024,6,June
48528,2024-06-26 23:28:07,2024-06-30 11:00:00,2024-06-30 11:00:00,1,2024,6,June
48526,2024-06-26 13:08:16,2024-06-30 11:00:00,2024-06-30 11:00:00,1,2024,6,June
48524,2024-06-26 10:24:00,,,,2024,6,June
48521,2024-06-25 17:18:47,2024-06-25 18:00:00,2024-08-27 18:00:00,3,2024,6,June
48511,2024-06-24 20:37:05,2024-06-25 18:00:00,2024-06-25 18:00:00,1,2024,6,June
48507,2024-06-24 09:52:35,2024-06-24 18:00:00,2024-06-24 18:00:00,1,2024,6,June
48505,2024-06-24 09:18:55,2024-06-24 18:00:00,2024-06-24 18:00:00,1,2024,6,June
48493,2024-06-22 08:33:38,2024-06-22 10:00:00,2024-06-22 10:00:00,1,2024,6,June
48485,2024-06-21 11:14:43,2024-06-22 09:30:00,2024-06-22 09:30:00,1,2024,6,June
48461,2024-06-17 20:05:12,2024-06-22 09:30:00,2024-06-22 09:30:00,1,2024,6,June
48459,2024-06-17 15:50:25,2024-06-17 18:00:00,2024-06-17 18:00:00,1,2024,6,June
48458,2024-06-17 14:03:42,,,,2024,6,June
48451,2024-06-16 12:13:05,2024-06-23 11:00:00,2024-08-18 11:00:00,3,2024,6,June
48444,2024-06-16 07:40:17,2024-06-16 11:00:00,2024-06-16 11:00:00,1,2024,6,June
48440,2024-06-15 17:19:03,2024-06-16 11:00:00,2024-06-16 11:00:00,1,2024,6,June
48423,2024-06-14 08:04:17,2024-06-16 11:00:00,2024-06-16 11:00:00,1,2024,6,June
48413,2024-06-13 10:07:24,2024-06-17 18:00:00,2024-06-17 18:00:00,1,2024,6,June
48401,2024-06-11 17:45:18,2024-06-15 09:30:00,2024-06-15 09:30:00,1,2024,6,June
48400,2024-06-11 15:09:09,2024-06-18 18:00:00,2024-07-23 18:00:00,4,2024,6,June
48398,2024-06-11 06:13:55,2024-06-17 18:00:00,2024-06-17 18:00:00,1,2024,6,June
48393,2024-06-10 12:16:46,,,,2024,6,June
48392,2024-06-10 12:14:34,2024-06-12 18:00:00,2025-01-22 19:00:00,22,2024,6,June
48387,2024-06-09 21:52:51,,,,2024,6,June
48351,2024-06-05 17:59:26,2024-06-05 18:00:00,2024-06-05 18:00:00,1,2024,6,June
48345,2024-06-04 22:45:29,2024-06-05 18:00:00,2024-06-05 18:00:00,1,2024,6,June
48326,2024-06-03 20:18:53,2024-06-04 18:00:00,2024-07-16 18:00:00,3,2024,6,June
48325,2024-06-03 17:26:26,2024-06-05 18:00:00,2024-06-26 18:00:00,2,2024,6,June
48324,2024-06-03 17:14:19,2024-06-05 18:00:00,2024-06-26 18:00:00,2,2024,6,June
48313,2024-06-02 22:47:03,2024-06-22 10:00:00,2024-10-23 18:00:00,19,2024,6,June
48307,2024-06-01 23:17:49,,,,2024,6,June
48279,2024-05-30 22:58:14,2024-06-01 09:30:00,2024-06-08 09:30:00,2,2024,5,May
48224,2024-05-28 04:31:46,2024-05-28 18:00:00,2024-06-11 18:00:00,3,2024,5,May
48206,2024-05-27 07:33:50,2024-05-27 18:00:00,2024-05-27 18:00:00,1,2024,5,May
48189,2024-05-25 20:48:47,2024-05-26 11:00:00,2024-05-26 11:00:00,1,2024,5,May
48186,2024-05-25 19:47:49,,,,2024,5,May
48184,2024-05-25 09:31:43,2024-05-25 09:30:00,2024-10-19 09:30:00,7,2024,5,May
48183,2024-05-25 09:27:23,2024-05-25 09:30:00,2024-10-19 09:30:00,6,2024,5,May
48179,2024-05-24 18:52:50,2024-05-25 10:00:00,2025-01-11 11:00:00,12,2024,5,May
48173,2024-05-24 12:19:03,2024-05-28 18:00:00,2024-05-28 18:00:00,1,2024,5,May
48134,2024-05-20 19:18:43,2024-05-21 18:00:00,2024-05-21 18:00:00,1,2024,5,May
48128,2024-05-19 20:41:47,2024-05-20 18:00:00,2024-05-20 18:00:00,1,2024,5,May
48120,2024-05-18 22:51:36,2024-08-18 11:00:00,2024-08-18 11:00:00,1,2024,5,May
48107,2024-05-17 21:22:59,2024-06-05 18:00:00,2024-06-05 18:00:00,1,2024,5,May
48105,2024-05-17 19:48:57,2024-05-18 10:00:00,2024-06-10 18:00:00,3,2024,5,May
48084,2024-05-15 12:26:57,2024-05-18 09:30:00,2024-06-30 11:00:00,2,2024,5,May
48081,2024-05-15 07:24:00,2024-05-15 18:00:00,2024-05-15 18:00:00,1,2024,5,May
48078,2024-05-14 23:41:20,2024-06-05 18:00:00,2024-06-05 18:00:00,1,2024,5,May
48064,2024-05-13 16:39:31,2024-05-14 18:00:00,2024-06-25 18:00:00,3,2024,5,May
48050,2024-05-12 08:07:41,2024-05-12 11:00:00,2024-05-12 11:00:00,1,2024,5,May
48043,2024-05-11 15:26:49,2024-05-12 11:00:00,2024-05-12 11:00:00,1,2024,5,May
48042,2024-05-11 13:20:16,,,,2024,5,May
48037,2024-05-10 21:46:30,,,,2024,5,May
48036,2024-05-10 20:46:47,2024-05-11 10:00:00,2024-05-11 10:00:00,1,2024,5,May
48033,2024-05-10 17:25:37,2024-05-11 10:00:00,2024-05-11 10:00:00,1,2024,5,May
48029,2024-05-10 09:02:50,2024-05-11 09:30:00,2024-05-11 09:30:00,1,2024,5,May
48027,2024-05-10 09:01:02,2024-05-11 09:30:00,2024-05-11 09:30:00,1,2024,5,May
48018,2024-05-09 16:52:57,2024-05-12 11:00:00,2024-05-12 11:00:00,1,2024,5,May
48017,2024-05-09 16:48:52,2024-05-12 11:00:00,2024-05-12 11:00:00,1,2024,5,May
48010,2024-05-08 19:14:01,2024-05-14 18:00:00,2024-05-14 18:00:00,1,2024,5,May
48005,2024-05-08 11:07:54,2024-05-08 18:00:00,2024-05-08 18:00:00,1,2024,5,May
47994,2024-05-07 14:31:57,,,,2024,5,May
47991,2024-05-06 19:29:06,,,,2024,5,May
47978,2024-05-05 21:26:50,2024-05-18 09:30:00,2024-06-01 09:30:00,3,2024,5,May
47968,2024-05-04 18:28:35,,,,2024,5,May
47915,2024-04-30 22:09:14,2024-05-07 18:00:00,2024-05-07 18:00:00,1,2024,4,April
47911,2024-04-30 16:54:10,2024-06-09 11:00:00,2024-06-09 11:00:00,1,2024,4,April
47892,2024-04-28 13:27:02,2024-06-08 09:30:00,2025-01-18 10:30:00,16,2024,4,April
47886,2024-04-27 22:51:20,,,,2024,4,April
47884,2024-04-27 20:10:22,2024-04-28 11:00:00,2024-04-28 11:00:00,1,2024,4,April
47866,2024-04-26 22:06:45,,,,2024,4,April
47855,2024-04-25 21:34:52,2024-04-27 09:30:00,2024-04-27 09:30:00,1,2024,4,April
47845,2024-04-23 15:51:28,2024-04-23 18:00:00,2024-05-07 18:00:00,2,2024,4,April
47836,2024-04-21 18:58:52,2024-04-30 18:00:00,2024-06-18 18:00:00,3,2024,4,April
47829,2024-04-20 14:39:41,2024-04-21 11:00:00,2024-12-15 12:00:00,2,2024,4,April
47827,2024-04-20 07:27:00,2024-04-20 10:00:00,2024-04-20 10:00:00,1,2024,4,April
47825,2024-04-19 21:31:06,,,,2024,4,April
47819,2024-04-19 06:58:58,,,,2024,4,April
47796,2024-04-16 21:56:48,2024-04-17 18:00:00,2024-04-17 18:00:00,1,2024,4,April
47787,2024-04-15 17:19:15,,,,2024,4,April
47762,2024-04-13 19:56:57,2024-04-14 11:00:00,2024-04-14 11:00:00,1,2024,4,April
47758,2024-04-13 10:42:53,2024-04-14 11:00:00,2024-04-14 11:00:00,1,2024,4,April
47757,2024-04-13 10:30:01,,,,2024,4,April
47751,2024-04-12 17:28:52,2024-04-13 10:00:00,2024-04-27 10:00:00,3,2024,4,April
47750,2024-04-12 16:54:21,2024-04-14 11:00:00,2024-04-14 11:00:00,1,2024,4,April
47739,2024-04-11 14:36:21,,,,2024,4,April
47736,2024-04-11 13:02:45,2024-04-13 09:30:00,2024-04-13 09:30:00,1,2024,4,April
47669,2024-04-08 08:42:17,2024-04-13 10:00:00,2024-07-29 18:00:00,12,2024,4,April
47659,2024-04-07 15:48:33,2024-04-08 18:00:00,2024-06-29 10:00:00,4,2024,4,April
47655,2024-04-07 13:12:16,,,,2024,4,April
47653,2024-04-07 11:57:21,2024-04-20 09:30:00,2024-05-25 09:30:00,3,2024,4,April
